ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotalLabel,YearTotal,TrafficCountTotal
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,1,"16,888",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,2,"17,903",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,3,"19,635",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,4,"15,777",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,5,"14,211",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,6,"9,000",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,7,"11,112",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,8,"7,725",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,9,"8,120",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,10,"8,890",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,11,"13,877",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,12,"17,690",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2022,"160,828"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,1,0,Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,"9,106"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,2,0,Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,"9,106"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,3,0,Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,"9,106"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,4,0,Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,"9,106"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,5,"1,797",Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,"9,106"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,6,"1,374",Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,"9,106"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,7,"1,127",Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2022,"9,106"
